Ломбардный список БР,Кол-во дней со сделками за 2 дня,Кол-во дней со сделками за 5 дней,Кол-во дней со сделками за 10 дней,Кол-во купонов в год,Амортизируемость,Конвертация,Закрытая подписка,target,not_isin,Encumbrance,Дата начала размещения_dow,Дата ближ. возм. погаш._dow,Дата погашения_dow,Дата окончания размещения_dow,Дата регистрации_dow,Дата гос. рег-ции/присвоения_dow,Дата ближ. купона_year,Дата ближ. купона_dow,Дата начала размещения_day,Дата ближ. возм. погаш._year,Дата ближ. возм. погаш._day,Дата погашения_year,Дата погашения_day,Дата окончания размещения_day,Дата регистрации_day,Дата гос. рег-ции/присвоения_day,Дата ближ. купона_day,Дата ближ. возм. погаш._month,Дата ближ. купона_month,Дата гос. рег-ции/присвоения_month,Дата гос. рег-ции/присвоения_year,Дата начала размещения_month,Дата начала размещения_year,Дата окончания размещения_month,Дата окончания размещения_year,Дата погашения_month,Дата регистрации_month,Дата регистрации_year,Статус,"Состояние бумаги, eng.",CFI,Страна заемщика,Сектор заемщика,Регион эмитента,Сектор эмитента,Срок обращения,Тип купона,Валюта номинала,Тип облигации,Вид облигации,Для неквал. инвесторов,"Форма выпуска, eng",Способ размещения,Тип по классиф. БР,Вид залога,Структурированность,Гос. гарантия,Индексируемость номинала,Вид обеспечения,Старшинство секьюритизации,"Тип бумаги (МСП, Корп., Гос.)",Сектор повышенного инвест. риска,Сектор роста,Рейтинг агрег,pca_1,pca_2,pca_3,target
0,2,5,10,2,0,0,1,0,0,1,0,0,0,0,2,2,2023,0,4,2024,28,2024,28,4,23,23,1,10,5,10,2019,11,2019,11,2019,10,10,2019,В обращении,Placed,DBVUFB,RU,Ритейл,г.Санкт-Петербург,Ритейл,Среднесрочные,Переменный,RUB,Корп,Коммерческие,"Да, после тестирования",bearer,Подписка закрытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,M,НЕТ,НЕТ,NAN,-538699.1073283606,-2018.483943618796,-15.569608157734066,0
0,2,5,10,2,0,0,1,0,0,0,2,2,2,0,3,3,2023,2,1,2026,26,2026,26,14,26,26,30,8,8,8,2021,9,2021,2,2022,8,8,2021,В обращении,Placed,DBFUFB,RU,Ритейл,Свердловская область,Ритейл,Среднесрочные,Постоянный,RUB,Корп,Коммерческие,"Да, после тестирования",Book-entry,Подписка закрытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,M,НЕТ,НЕТ,NAN,-637699.1073192138,-2019.8284826984611,-15.5801901555295,0
0,2,5,10,4,0,0,1,0,0,0,2,2,2,1,3,3,2023,2,26,2023,25,2025,22,26,21,21,26,1,4,10,2021,1,2022,4,2022,1,10,2021,В обращении,Placed,DBFUFB,RU,Строительство,г.Санкт-Петербург,Строительство,Краткосрочные,Постоянный,RUB,Корп,Классические,Нет,Book-entry,Подписка закрытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,M,НЕТ,НЕТ,NAN,-637699.1073294467,-2019.0741873962404,-15.71246645653644,0
0,2,5,10,1,0,0,1,0,0,1,2,5,6,2,0,0,2023,6,14,2023,16,2024,15,14,8,8,17,12,12,7,2019,8,2019,8,2019,12,7,2019,В обращении,Placed,DBVGFB,RU,Пищевая промышленность и с/х,Оренбургская область,Пищевая промышленность и с/х,Среднесрочные,Переменный,RUB,Корп,Коммерческие,"Да, после тестирования",bearer,Подписка закрытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Поручительство,416,M,НЕТ,НЕТ,NAN,-637699.1073192171,-2019.828482883956,-15.580207544967122,0
0,2,5,10,4,1,0,0,0,0,1,2,2,2,2,1,1,2023,2,1,2026,28,2026,28,8,20,20,3,1,5,9,2022,2,2023,2,2023,1,9,2022,В обращении,Placed,DBFUFB,RU,Строительство,г.Санкт-Петербург,Строительство,Краткосрочные,Постоянный,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Оферта,416,C,НЕТ,НЕТ,BBB(RU),-637699.1073247631,-2019.4399344503365,-15.697175675740617,0
0,2,5,10,2,0,0,0,0,0,0,0,0,0,0,0,0,2023,0,13,2023,11,2026,7,13,6,6,13,9,3,9,2021,9,2021,9,2021,9,9,2021,В обращении,Placed,DBVGFB,RU,"Фин.сервис - УК, НПФ, ПИФ",г.Москва,"Фин.сервис - УК, НПФ, ПИФ",Среднесрочные,Переменный,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Оферта+Поручительство,416,C,НЕТ,НЕТ,ruA,-637699.1073109859,-2020.436288610662,-15.518673042740872,0
0,2,5,10,4,0,0,0,0,0,1,1,1,1,1,1,1,2023,1,28,2024,24,2024,24,28,21,21,28,12,3,12,2021,12,2021,12,2021,12,12,2021,В обращении,Placed,DBFUFB,RU,Ритейл,г.Москва,Ритейл,Краткосрочные,Постоянный,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,C,НЕТ,НЕТ,'ruBBB+,-637699.107324373,-2019.4549608607829,-15.691377066411738,0
0,2,5,10,4,1,0,0,0,0,1,2,2,2,3,0,0,2023,2,27,2023,25,2026,22,15,25,25,26,10,4,7,2022,7,2022,9,2022,7,7,2022,В обращении,Placed,DBVUFB,RU,Пищевая промышленность и с/х,Краснодарский край,Пищевая промышленность и с/х,Среднесрочные,Переменный,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Оферта,416,M,ДА,НЕТ,NAN,-637699.1073219603,-2019.6263559426388,-15.696362695838404,0
0,2,5,10,4,1,0,0,0,0,1,0,0,0,6,2,2,2023,1,7,2023,6,2026,2,8,2,2,9,11,5,11,2022,11,2022,1,2023,11,11,2022,В обращении,Placed,DBVUFB,RU,Строительство,Челябинская область,Строительство,Среднесрочные,Переменный,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,M,ДА,НЕТ,ruB,-637699.1073340162,-2018.7447304338837,-15.722280073276618,0
0,0,0,1,4,0,0,0,0,0,1,0,5,1,3,0,0,2023,3,17,2022,26,2023,21,20,3,3,25,11,5,12,2018,12,2018,12,2018,11,12,2018,В обращении,Placed,DBVUFB,RU,Фин.сервис - Лизинг,Свердловская область,Фин.сервис - Лизинг,Среднесрочные,Переменный,RUB,Корп,Биржевые,"Да, после тестирования",bearer,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,M,ДА,НЕТ,NAN,-637699.1073103503,-2020.4896515345813,-14.225152174366563,0
0,1,2,3,4,0,0,0,0,0,0,6,6,6,3,6,6,2023,6,16,2023,15,2032,3,24,28,28,16,10,4,8,2022,10,2022,11,2022,10,8,2022,В обращении,Placed,DBVUFB,RU,Пищевая промышленность и с/х,Орловская область,Пищевая промышленность и с/х,Долгосрочные,Переменный,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,C,НЕТ,НЕТ,BBB(RU),-637699.1073069036,-2020.734765535129,-15.555860368403678,0
0,2,5,10,2,0,0,0,0,0,0,2,2,2,2,3,3,2023,2,15,2026,11,2026,11,15,9,9,16,2,8,2,2023,2,2023,2,2023,2,2,2023,В обращении,Placed,DBFUFB,RU,Строительство,г.Москва,Строительство,Краткосрочные,Постоянный,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,C,НЕТ,НЕТ,ruAA+,-637699.107312603,-2020.4072173603397,-15.654617846932709,0
0,2,5,10,4,0,0,1,0,0,0,2,2,2,6,6,6,2023,2,5,2023,4,2025,1,25,4,4,5,10,4,9,2022,10,2022,12,2022,10,9,2022,В обращении,Placed,DBVUFB,RU,Ритейл,Новосибирская область,Ритейл,Краткосрочные,Переменный,RUB,Корп,Коммерческие,"Да, после тестирования",Book-entry,Подписка закрытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,M,НЕТ,НЕТ,NAN,-637699.1073192292,-2019.828481116977,-15.580291631642549,0
0,2,5,10,1,0,0,0,1,0,0,6,2,2,6,6,6,2023,6,9,2015,9,2022,7,9,25,25,19,12,3,11,2012,12,2012,12,2012,12,11,2012,Дефолт,Placed,DBVUFB,RU,Пищевая промышленность и с/х,г.Москва,Пищевая промышленность и с/х,Краткосрочные,Переменный,RUB,Корп,Биржевые,"Да, после тестирования",bearer,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,M,НЕТ,НЕТ,NAN,-637699.1073192183,-2019.8284847924513,-15.580182899372033,1
0,2,5,10,2,0,0,0,0,0,0,1,1,1,1,6,6,2023,1,27,2025,23,2025,23,27,25,25,27,12,6,12,2022,12,2022,12,2022,12,12,2022,В обращении,Placed,DBFUFB,RU,Пищевая промышленность и с/х,Краснодарский край,Пищевая промышленность и с/х,Краткосрочные,Постоянный,RUB,Корп,Коммерческие,"Да, после тестирования",Book-entry,Подписка закрытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Оферта,416,C,НЕТ,НЕТ,ruA-,-637699.1073192246,-2019.8284912829718,-15.580195186448947,0
