Эмитент,Дата начала размещения,Статус,"Состояние бумаги, eng.",Ломбардный список БР,Isin,Код НРД,Гос. рег. номер,"Номер гос. рег., НРД",Наименование,CFI,Страна заемщика,Сектор заемщика,Страна эмиссии,Страна эмитента,Регион эмитента,Сектор эмитента,Эмитент: реестр МСП,Страна риска,"Дюрация, лет","Дюрация модиф., лет",Дата ближ. возм. погаш.,Дата погашения,Дата ближ. оферты,Дата окончания размещения,Дата регистрации,Дата гос. рег-ции/присвоения,Срок обращения,Дата начала 1-го купона,Дата ближ. купона,Дата ближ. объявления неизв. купона,"Доходность эффект., %","Доходность средневзв., %","НКД, в вал. ном.",Z-спред,Номинал,"Цена, %","Объем эмиссии, шт.","Заявл. объем эмиссии, в вал. ном.","Объем в обращении, в вал. ном",Дневной оборот на МБ,Средний дневной оборот за мес.,Объем торгов,Объем торгов за 2 дня,Объем торгов за 5 дней,Объем торгов за 10 дней,Объем торгов за месяц,Кол-во сделок,Кол-во сделок за 2 дня,Кол-во сделок за 5 дней,Кол-во сделок за 10 дней,Кол-во сделок за месяц,Кол-во дней со сделками за 2 дня,Кол-во дней со сделками за 5 дней,Кол-во дней со сделками за 10 дней,Кол-во дней со сделками за месяц,Тип купона,"Ставка купона, %",Кол-во купонов в год,Валюта номинала,Тип облигации,Вид облигации,Для неквал. инвесторов,"Форма выпуска, eng",Способ размещения,Тип по классиф. БР,Вид залога,Структурированность,Субординированность,Гос. гарантия,Индексируемость номинала,Амортизируемость,Конвертация,Вид обеспечения,Старшинство секьюритизации,Закрытая подписка,"Тип бумаги (МСП, Корп., Гос.)",Сектор повышенного инвест. риска,Сектор роста,Класс эмитента по выручке,Рейтинг агрег. Эксперт РА,Рейтинг эмиссии Эксперт РА,Рейтинг агрег. АКРА,Рейтинг эмиссии АКРА,target,not_isin,cnt_bonds,fininstId,inn,ogrn,Encumbrance
2М,2019-11-05,В обращении,Placed,0.0,RU000A100ZX3,RU000A100ZX3,4CDE-02-00503-R,4CDE-02-00503-R,2М-КО-02,DBVUFB,RU,Ритейл,RU,RU,г.Санкт-Петербург,Ритейл,Малое предприятие,RU,,,2024-10-29,2024-10-29,,2019-11-05,2019-10-24,2019-10-24,Среднесрочные,,2023-05-02,,,,,,100000.0,,1950,195000000.0,195000000.0,,,,,,,,,,,,,,,,,Переменный,14.0,2.0,RUB,Корп,Коммерческие,"Да, после тестирования",bearer,Подписка закрытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,1,M,НЕТ,НЕТ,Малый,,,,,0,0,2,22332,7806562022,1197847144703,1
4К,2021-09-02,В обращении,Placed,0.0,RU000A103ML0,RU000A103ML0,4CDE-01-00041-L-001P,4CDE-01-00041-L-001P,4К-KO1,DBFUFB,RU,Ритейл,RU,RU,Свердловская область,Ритейл,,RU,,,2026-08-27,2026-08-27,,2022-02-15,2021-08-27,2021-08-27,Среднесрочные,,2023-08-31,,,,,,1000.0,,25000,25000000.0,25000000.0,,,,,,,,,,,,,,,,,Постоянный,8.5,2.0,RUB,Корп,Коммерческие,"Да, после тестирования",Book-entry,Подписка закрытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,1,M,НЕТ,НЕТ,Микро,,,,,0,0,1,15422,6685187037,1216600029140,0
А Девелопмент,2022-01-27,В обращении,Placed,0.0,RU000A104FX7,RU000A104FX7,4-01-00627-R,4-01-00627-R,А Девелопмент-01-об,DBFUFB,RU,Строительство,RU,RU,г.Санкт-Петербург,Строительство,,RU,1.6658,1.4403,2023-01-26,2025-01-23,,2022-04-27,2021-10-22,2021-10-22,Краткосрочные,,2023-04-27,,15.6539,15.7444,15.18,0.0,1000.0,98.43,700000,700000000.0,300145000.0,253602.0,412787.0,253602.3,558789.2,1504275.1,3249282.2,7842962.9,51.0,79.0,173.0,287.0,650.0,2.0,5.0,10.0,19.0,Постоянный,13.85,4.0,RUB,Корп,Классические,Нет,Book-entry,Подписка закрытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,1,M,НЕТ,НЕТ,Микро,,,,,0,0,1,14746,7814505170,1117847263940,0
А7 Агро,2019-08-15,В обращении,Placed,0.0,RU000A100QH5,RU000A100QH5,4CDE-03-00411-R,4CDE-03-00411-R,А7 Агро-КО-03,DBVGFB,RU,Пищевая промышленность и с/х,RU,RU,Оренбургская область,Пищевая промышленность и с/х,,RU,,,2023-12-17,2024-12-16,2023-12-20,2019-08-15,2019-07-09,2019-07-09,Среднесрочные,,2023-12-18,2023-12-11 00:00:00,,,,0.0,1000.0,,100000,100000000.0,100000000.0,,,,,,,,,,,,,,,,,Переменный,7.0,1.0,RUB,Корп,Коммерческие,"Да, после тестирования",bearer,Подписка закрытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Поручительство,416,1,M,НЕТ,НЕТ,Малый,,,,,0,0,3,24502,5629020635,1115658009246,1
АБЗ-1,2023-02-02,В обращении,Placed,0.0,RU000A105SX7,RU000A105SX7,4B02-03-01671-D-001P,4B02-03-01671-D-001P,АБЗ-1-001Р-03-боб,DBFUFB,RU,Строительство,RU,RU,г.Санкт-Петербург,Строительство,,RU,1.9589,1.7146,2026-01-29,2026-01-29,,2023-02-09,2022-09-21,2022-09-21,Краткосрочные,,2023-05-04,,14.2482,14.3221,12.88,0.0,1000.0,101.35,1500000,1500000000.0,1500000000.0,5122671.0,11470880.0,5122671.0,9676818.7,23607813.5,56997272.0,217946732.7,223.0,497.0,1471.0,3389.0,9834.0,2.0,5.0,10.0,19.0,Постоянный,14.25,4.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Оферта,416,0,C,НЕТ,НЕТ,,,,BBB(RU),BBB(RU),0,0,3,32464,7804016807,1027802506742,1
АВТОБАН-Финанс,2021-09-14,В обращении,Placed,0.0,RU000A103PC2,RU000A103PC2,4B02-03-82416-H-001P,4B02-03-82416-H-001P,Автобан-Финанс-БО-ПО3,DBVGFB,RU,"Фин.сервис - УК, НПФ, ПИФ",RU,RU,г.Москва,"Фин.сервис - УК, НПФ, ПИФ",,RU,0.4959,0.4467,2023-09-12,2026-09-08,2023-09-15,2021-09-14,2021-09-07,2021-09-07,Среднесрочные,,2023-03-14,,11.0135,9.9824,42.67,2.6133,1000.0,99.1,3000000,3000000000.0,3000000000.0,242982.0,52136.0,242982.0,431599.7,806604.5,891844.3,990597.1,11.0,46.0,84.0,115.0,156.0,2.0,5.0,10.0,18.0,Переменный,8.9,2.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Оферта+Поручительство,416,0,C,НЕТ,НЕТ,Крупный,ruA,ruA,,,0,0,3,30825,7708813750,1147746558596,0
АВТОДОМ,2021-12-29,В обращении,Placed,0.0,RU000A104CJ3,RU000A104CJ3,4B02-01-12586-A-001P,4B02-01-12586-A-001P,АВТОДОМ-001P-01,DBFUFB,RU,Ритейл,RU,RU,г.Москва,Ритейл,,RU,1.6082,1.4081,2024-12-25,2024-12-25,,2021-12-29,2021-12-22,2021-12-22,Краткосрочные,,2023-03-29,,14.211,14.2464,23.16,0.0,1000.0,98.0,5000000,5000000000.0,5000000000.0,1804228.0,1745524.0,1804227.7,2745893.1,10042709.1,16043112.3,33164974.2,125.0,220.0,515.0,1040.0,2222.0,2.0,5.0,10.0,19.0,Постоянный,12.25,4.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,C,НЕТ,НЕТ,Крупный,'ruBBB+,,,,0,0,1,28481,7714709349,1077759436336,1
АК БАРС Банк,2020-12-24,В обращении,Placed,0.0,RU000A102KU7,RU000A102KU7,4B02-01-02590-B-001P,4B02-01-02590-B-001P,Ак Барс-001Р-01,DBFUFB,RU,Банки,RU,RU,Республика Татарстан,Банки,,RU,0.8,,2023-12-24,2023-12-24,,2020-12-24,2020-09-29,2020-09-29,Среднесрочные,,2023-12-25,,36.3077,,,,1000.0,,100000,100000000.0,100000000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Постоянный,0.1,1.0,RUB,Корп,Биржевые,Нет,Book-entry,Подписка открытая,Облигации кредитных организаций-резидентов,,Структурно-инвестиционные,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,C,НЕТ,НЕТ,,ruA-,,A(RU),,0,0,1,6291,1653001805,1021600000124,0
АО им. Т.Г. Шевченко,2022-07-28,В обращении,Placed,0.0,RU000A104ZU1,RU000A104ZU1,4B02-04-34127-E-001P,4B02-04-34127-E-001P,АО Т.Г.Шевченко-001Р-04,DBVUFB,RU,Пищевая промышленность и с/х,RU,RU,Краснодарский край,Пищевая промышленность и с/х,,RU,0.6082,0.5359,2023-10-26,2026-07-23,2023-10-31,2022-09-16,2022-07-26,2022-07-26,Среднесрочные,,2023-04-27,,13.4969,13.6221,18.63,0.0,1000.0,102.48,250000,250000000.0,250000000.0,321570.0,611843.0,321569.5,761198.0,3570333.1,6088402.2,11625019.2,48.0,123.0,357.0,723.0,1627.0,2.0,5.0,10.0,19.0,Переменный,17.0,4.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Оферта,416,0,M,ДА,НЕТ,Средний,,,,,0,0,3,22201,2358006710,1042332475085,1
АПРИ Флай Плэнинг,2022-11-08,В обращении,Placed,0.0,RU000A105DS9,RU000A105DS9,4B02-01-12464-K-002P,4B02-01-12464-K-002P,АПРИ ФлайПлэни-БО-002Р-01,DBVUFB,RU,Строительство,RU,RU,Челябинская область,Строительство,,RU,0.6301,0.5388,2023-11-07,2026-11-03,2023-11-21,2023-01-09,2022-11-03,2022-11-03,Среднесрочные,,2023-05-10,,16.9421,17.0115,18.41,0.0,1000.0,105.0,500000,500000000.0,500000000.0,1470481.0,3060560.0,1470480.9,2978020.9,7744590.0,18665611.8,58150656.5,223.0,469.0,1124.0,2308.0,6074.0,2.0,5.0,10.0,19.0,Переменный,24.0,4.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Необеспеченные,416,0,M,ДА,НЕТ,Средний,ruB,,,,0,0,4,26405,7453326003,1197456003360,1
